Timestamp,FPS,Inference Time (ms)
2025/5/7 13:36,6.69,44.82
2025/5/7 13:36,6.7,43.68
2025/5/7 13:36,6.72,40.45
2025/5/7 13:36,6.74,44.73
2025/5/7 13:36,6.75,46.46
2025/5/7 13:36,6.77,44.55
2025/5/7 13:36,6.79,47.67
2025/5/7 13:36,6.8,50.3
2025/5/7 13:36,6.81,48.62
2025/5/7 13:36,6.83,39.75
2025/5/7 13:36,6.85,41.7
2025/5/7 13:36,6.87,42.08
2025/5/7 13:36,6.89,40.81
2025/5/7 13:36,6.91,42.37
2025/5/7 13:36,6.92,44.5
2025/5/7 13:36,6.94,38.38
2025/5/7 13:36,6.96,41.02
2025/5/7 13:36,6.98,41.32
2025/5/7 13:36,6.99,40.4
2025/5/7 13:36,7,48.64
2025/5/7 13:36,7.02,40.8
2025/5/7 13:36,7.04,39
2025/5/7 13:36,7.06,40.78
2025/5/7 13:36,7.08,39.6
2025/5/7 13:36,7.1,37.92
2025/5/7 13:36,7.12,38.76
2025/5/7 13:36,7.13,46.01
2025/5/7 13:36,7.14,46.16
2025/5/7 13:36,7.15,50.15
2025/5/7 13:36,7.16,42.32
2025/5/7 13:36,7.17,44.58
2025/5/7 13:36,7.19,41.2
2025/5/7 13:36,7.21,41.7
2025/5/7 13:36,7.21,47.24
2025/5/7 13:36,7.23,44.78
2025/5/7 13:36,7.24,47.31
2025/5/7 13:36,7.27,35.79
2025/5/7 13:36,7.28,40.48
2025/5/7 13:36,7.29,45.25
2025/5/7 13:36,7.31,45.56
2025/5/7 13:36,7.32,51.1
2025/5/7 13:36,7.33,49.16
2025/5/7 13:36,7.34,53.11
2025/5/7 13:36,7.35,50.45
2025/5/7 13:36,7.37,51.63
2025/5/7 13:36,7.38,47.97
2025/5/7 13:36,7.39,48.2
2025/5/7 13:36,7.4,51.43
2025/5/7 13:36,7.41,45.75
2025/5/7 13:36,7.42,44.15
2025/5/7 13:36,7.43,53.56
2025/5/7 13:36,7.45,40.47
2025/5/7 13:36,7.47,40.03
2025/5/7 13:36,7.49,38.77
2025/5/7 13:36,7.5,45.72
2025/5/7 13:36,7.51,49.18
2025/5/7 13:36,7.52,50.08
2025/5/7 13:36,7.53,46.81
2025/5/7 13:36,7.53,43.85
2025/5/7 13:36,7.54,40.46
2025/5/7 13:36,7.56,39.39
2025/5/7 13:36,7.57,42.4
2025/5/7 13:36,7.58,48.52
2025/5/7 13:36,7.59,42.67
2025/5/7 13:36,7.61,39.25
2025/5/7 13:36,7.63,38.2
2025/5/7 13:36,7.64,40.76
2025/5/7 13:36,7.65,48.6
2025/5/7 13:36,7.66,40.43
2025/5/7 13:36,7.67,49.72
2025/5/7 13:36,7.68,48.77
2025/5/7 13:36,7.7,39.27
2025/5/7 13:36,7.71,44.6
2025/5/7 13:36,7.73,38.85
2025/5/7 13:36,7.74,45.93
2025/5/7 13:36,7.76,39.22
2025/5/7 13:36,7.78,40.71
2025/5/7 13:36,7.79,41.52
2025/5/7 13:36,7.8,43.48
2025/5/7 13:36,7.81,40.81
2025/5/7 13:36,7.82,45.7
2025/5/7 13:36,7.83,44.76
2025/5/7 13:36,7.83,47.05
2025/5/7 13:36,7.85,41.08
2025/5/7 13:36,7.86,40.93
2025/5/7 13:36,7.87,42.23
2025/5/7 13:36,7.88,46.98
2025/5/7 13:36,7.89,52.93
2025/5/7 13:36,7.9,41.51
2025/5/7 13:36,7.91,49.43
2025/5/7 13:36,7.91,47.03
2025/5/7 13:36,7.93,43.49
2025/5/7 13:36,7.93,46.83
2025/5/7 13:36,7.94,42.88
2025/5/7 13:36,7.95,45.3
2025/5/7 13:36,7.97,37.8
2025/5/7 13:36,7.99,37.55
2025/5/7 13:36,8,45.5
2025/5/7 13:36,8.02,38.01
2025/5/7 13:36,8.04,40.88
2025/5/7 13:36,8.05,51.19
2025/5/7 13:36,8.06,39.29
2025/5/7 13:36,8.05,50.83
2025/5/7 13:36,8.06,37.55
2025/5/7 13:36,8.07,49.11
2025/5/7 13:36,8.09,39.74
2025/5/7 13:36,8.1,36.93
2025/5/7 13:36,8.11,42.01
2025/5/7 13:36,8.13,39.2
2025/5/7 13:36,8.14,42.7
2025/5/7 13:36,8.15,38.95
2025/5/7 13:36,8.16,41.41
2025/5/7 13:36,8.18,38.33
2025/5/7 13:36,8.19,37.48
2025/5/7 13:36,8.19,47.01
2025/5/7 13:36,8.2,47.15
2025/5/7 13:36,8.21,44.34
2025/5/7 13:36,8.22,51.18
2025/5/7 13:36,8.22,40.36
2025/5/7 13:36,8.22,47.03
2025/5/7 13:36,8.22,45.86
2025/5/7 13:36,8.23,45
2025/5/7 13:36,8.24,44.93
2025/5/7 13:36,8.24,43.76
2025/5/7 13:36,8.25,51.42
2025/5/7 13:36,8.26,49.29
2025/5/7 13:36,8.26,52.08
2025/5/7 13:36,8.27,44.55
2025/5/7 13:36,8.29,37.06
2025/5/7 13:36,8.3,44.83
2025/5/7 13:36,8.31,43.62
2025/5/7 13:36,8.32,39.93
2025/5/7 13:36,8.33,42.13
2025/5/7 13:36,8.33,43.32
2025/5/7 13:36,8.34,41.93
2025/5/7 13:36,8.36,41.41
2025/5/7 13:36,8.37,38.53
2025/5/7 13:36,8.37,41.99
2025/5/7 13:36,8.38,42.69
2025/5/7 13:36,8.38,49.05
2025/5/7 13:36,8.39,44.55
2025/5/7 13:36,8.39,40.43
2025/5/7 13:36,8.4,41.65
2025/5/7 13:36,8.41,44.3
2025/5/7 13:36,8.42,44.16
2025/5/7 13:36,8.44,38.09
2025/5/7 13:36,8.44,48.65
2025/5/7 13:36,8.45,41.82
2025/5/7 13:36,8.46,38.1
2025/5/7 13:37,8.46,43.78
2025/5/7 13:37,8.47,38.96
2025/5/7 13:37,8.49,38.89
2025/5/7 13:37,8.5,37.93
2025/5/7 13:37,8.51,44.13
2025/5/7 13:37,8.52,43.52
2025/5/7 13:37,8.52,43.44
2025/5/7 13:37,8.54,40.11
2025/5/7 13:37,8.54,44.6
2025/5/7 13:37,8.55,41.62
2025/5/7 13:37,8.55,41.14
2025/5/7 13:37,8.56,41.97
2025/5/7 13:37,8.57,43.23
2025/5/7 13:37,8.58,39.26
2025/5/7 13:37,8.59,38
2025/5/7 13:37,8.61,43.62
2025/5/7 13:37,8.62,43.57
2025/5/7 13:37,8.62,44.57
2025/5/7 13:37,8.63,46.27
2025/5/7 13:37,8.63,42.84
2025/5/7 13:37,8.64,41.68
2025/5/7 13:37,8.64,49.55
2025/5/7 13:37,8.65,49.64
2025/5/7 13:37,8.65,44.09
2025/5/7 13:37,8.66,46.03
2025/5/7 13:37,8.66,42.49
2025/5/7 13:37,8.67,48.62
2025/5/7 13:37,8.67,40.64
2025/5/7 13:37,8.67,41.41
2025/5/7 13:37,8.68,46.04
2025/5/7 13:37,8.69,47.02
2025/5/7 13:37,8.69,51.4
2025/5/7 13:37,8.7,41.99
2025/5/7 13:37,8.7,38.96
2025/5/7 13:37,8.7,43.26
2025/5/7 13:37,8.7,43.99
2025/5/7 13:37,8.71,48.23
2025/5/7 13:37,8.72,46.69
2025/5/7 13:37,8.72,45.84
2025/5/7 13:37,8.73,46.33
2025/5/7 13:37,8.73,38.99
2025/5/7 13:37,8.74,42.66
2025/5/7 13:37,8.75,39.35
2025/5/7 13:37,8.76,38.77
2025/5/7 13:37,8.77,40.41
2025/5/7 13:37,8.78,42.79
2025/5/7 13:37,8.78,47.25
2025/5/7 13:37,8.79,45.08
2025/5/7 13:37,8.79,40.03
2025/5/7 13:37,8.79,54.47
2025/5/7 13:37,8.8,42.74
2025/5/7 13:37,8.81,39.39
2025/5/7 13:37,8.83,42.11
2025/5/7 13:37,8.83,38.12
2025/5/7 13:37,8.84,42.95
2025/5/7 13:37,8.85,39.57
2025/5/7 13:37,8.86,41.1
2025/5/7 13:37,8.87,49.37
2025/5/7 13:37,8.87,46.24
2025/5/7 13:37,8.87,44.69
2025/5/7 13:37,8.87,46.37
2025/5/7 13:37,8.87,47.77
2025/5/7 13:37,8.88,39.12
2025/5/7 13:37,8.89,38.13
2025/5/7 13:37,8.9,39.31
2025/5/7 13:37,8.9,59.05
2025/5/7 13:37,8.91,44.26
2025/5/7 13:37,8.92,40.04
2025/5/7 13:37,8.93,40.93
2025/5/7 13:37,8.94,43.99
2025/5/7 13:37,8.95,39.51
2025/5/7 13:37,8.96,43.11
2025/5/7 13:37,8.97,41.65
2025/5/7 13:37,8.98,41.7
2025/5/7 13:37,8.99,42.13
2025/5/7 13:37,8.99,41.22
2025/5/7 13:37,9,42.9
2025/5/7 13:37,9,42.52
2025/5/7 13:37,9,41.13
2025/5/7 13:37,9.01,38.32
2025/5/7 13:37,9.01,44.08
2025/5/7 13:37,9.02,45.72
2025/5/7 13:37,9.02,42.68
2025/5/7 13:37,9.02,46.07
2025/5/7 13:37,9.03,41.71
2025/5/7 13:37,9.03,41.07
2025/5/7 13:37,9.04,41.04
2025/5/7 13:37,9.04,44.01
2025/5/7 13:37,9.04,41.66
2025/5/7 13:37,9.05,38.36
2025/5/7 13:37,9.06,40.08
2025/5/7 13:37,9.07,38.32
2025/5/7 13:37,9.08,40.57
2025/5/7 13:37,9.08,42.72
2025/5/7 13:37,9.08,40.79
2025/5/7 13:37,9.1,38.97
2025/5/7 13:37,9.1,45.41
2025/5/7 13:37,9.11,44.09
2025/5/7 13:37,9.11,38.92
2025/5/7 13:37,9.12,39.27
2025/5/7 13:37,9.13,39.41
2025/5/7 13:37,9.14,40.03
2025/5/7 13:37,9.15,39.8
2025/5/7 13:37,9.16,38.98
2025/5/7 13:37,9.16,53.05
2025/5/7 13:37,9.17,49.4
2025/5/7 13:37,9.17,45.65
2025/5/7 13:37,9.18,40.95
2025/5/7 13:37,9.18,48.37
2025/5/7 13:37,9.18,44.98
2025/5/7 13:37,9.18,46.3
2025/5/7 13:37,9.19,51.65
2025/5/7 13:37,9.19,42.65
2025/5/7 13:37,9.2,40.16
2025/5/7 13:37,9.2,43.91
2025/5/7 13:37,9.2,44.73
2025/5/7 13:37,9.2,41.17
2025/5/7 13:37,9.21,39.05
2025/5/7 13:37,9.22,39.15
2025/5/7 13:37,9.23,39.11
